Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
,16.79,,978-1698872889,,Independently published (10 octobre 2019),
,5.95,,978-2073061539,,GALLIMARD; Illustrated édition (18 avril 2024),
,14.01,,979-8547546846,,Independently published (1 août 2021),
,17.32,,978-2253107378,,Le Livre de Poche (6 avril 2022),
,11.75,,979-8884534582,,Independently published (27 avril 2024),
,17.51,,978-2213720562,,Fayard; 1er édition (28 février 2024),
,15.52,,979-1255430483,,PaperFIRST (14 mai 2024),
,12.16,,978-2080439482,,FLAMMARION (3 avril 2024),
,15.41,,978-2365698429,,Les escales éditions (26 octobre 2023),
,12.7,,978-2959138454,,978-2-9591384 (11 janvier 2024),
,15.77,,978-2017234418,,Hachette Pratique (15 mai 2024),
,5.36,,978-2367060279,,BOOKS ON DEMAND (23 avril 2021),
,6.2,,979-8323383375,,Independently published (19 avril 2024),
