Nom,Description,Photo
Tatsuki Fujimoto,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Kanehito Yamada,,
Akira Toriyama,"Grâce au célébrissime « Dragon Ball », Akira Toriyama est sans aucun doute l'auteur de manga le plus célèbre au monde. Il commence à publier ses premières histoires dans le magazine Shônen Jump dès 1980 avec « Docteur Slump » qu'il dessine pendant quatre ans. Il rencontre un succès mondial avec « Dragon Ball », publié dans le même magazine pendant 10 ans, de 1985 à 1995, totalisant plus de 8000 pages de bande dessinée. Une série magistrale qui le propulse parmi les plus grands. Il signe ensuite « Cowa » en 1998 et deux one-shot en 2000, « Kajika » et « Sand Land », publiés chez Glénat. Le studio que dirige Akira Toriyama s'appelle « Bird Studio » et en plus de la bande dessinée il a travaillé sur le design de personnages de jeux vidéo comme « Toruneko no daibôken » ou « Chrono Trigger ».",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Eiichiro Oda,"Eiichiro Oda est né le 1er janvier 1975 à Kumamoto (Japon). Dès l'âge de 4 ans, il veut devenir mangaka. En 1992, alors qu'il est encore au lycée, il est récompensé lors du 44e concours Tezuka pour Wanted!. Après avoir été assistant auprès de divers auteurs comme Nobuhiro Watsuki (l'auteur de Kenshin le vagabond), c'est en 1997 qu'Eiichiro Oda publie le premier chapitre de One Piece dans le magazine Weekly Shônen Jump. Grâce aux personnages attachants, aux scènes d'action dynamiques et au scénario émouvant qui la caractérisent, la série fait l'unanimité auprès d'un large public.
En décembre 2014, One Piece est entré dans le livre des records comme la série dessinée par un seul auteur la plus imprimée au monde (320 866 000 exemplaires). Et, en 2021, ce sont plus de 490 millions de mangas One Piece qui ont déjà été imprimés à travers le monde, chaque nouveau volume étant distribué au Japon à plus de 3 millions d'exemplaires.
Ses déclinaisons en série TV, jeux vidéo ou films sont tout aussi populaires que la série originale. One Piece jouit également d'un succès international.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Aka Akasaka,"Nesrine MEZOUANE est une traductrice française de mangas. Elle a notamment traduit des titres pour Kurokawa comme Bye Bye Liberty et Wolf Girl & Black Prince d'Ayuko HATTA, Crimson Wolf de Seishi KISHIMOTO, Le Comte de Monte Cristo d'Alexandre DUMAS et Ena MORIYAMA, Les Misérables de Victor HUGO et Takahiro ARAI et Shonan Seven – GTO Stories de Shinsuke TAKAHASHI et Toru FUJISAWA, ainsi que de nombreux autres titres chez d'autres éditeurs.",
Tatsuya Endo,"Tatsuya Endo est un mangaka japonais né en 1980. Au début de sa carrière, il a été l'apprenti de Kanou Yasuhiro (Mx0, Pretty Face) et l'assistant de Yoshiyuki Nishi (Muhyo & Roji's BSI). Avant Spy x Family, deux de ses mangas ont été adaptés en France chez Kaze : Tista et The Moon Sword.

Satoko FUJIMOTO est une traductrice de mangas. Elle œuvre main dans la main avec d'autres traducteurs à l'adaptation comme Nathalie BOUGON-BASTIDE. Avec celle-ci, elle a notamment traduit en français Anus beauté de Takeshi OHMI, Inazuma Eleven, Inazuma Eleven X-Tra et Inazuma Eleven Go ! de Tenya YABUNO, Je t'aime Suzuki !! de Gô IKEYAMADA, Nozokiana de Wakô HONNA, En scène ! de CUVIE, Real Account de Shizumu WATANABE ou encore VS Earth de Kazutomo ICHITOMO et Yoshihiko WATANABE. Elle a également traduit une partie de la série Magi : The Labyrinth of Magic de Shinobu OHTAKA en collaboration avec Joffrey SEGUIN, adaptateur.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
HERO,Mangaka. Scénariste de la série manga Horimiya.,
Eiichiro Oda,"Eiichiro Oda est né le 1er janvier 1975 à Kumamoto (Japon). Dès l'âge de 4 ans, il veut devenir mangaka. En 1992, alors qu'il est encore au lycée, il est récompensé lors du 44e concours Tezuka pour Wanted!. Après avoir été assistant auprès de divers auteurs comme Nobuhiro Watsuki (l'auteur de Kenshin le vagabond), c'est en 1997 qu'Eiichiro Oda publie le premier chapitre de One Piece dans le magazine Weekly Shônen Jump. Grâce aux personnages attachants, aux scènes d'action dynamiques et au scénario émouvant qui la caractérisent, la série fait l'unanimité auprès d'un large public.
En décembre 2014, One Piece est entré dans le livre des records comme la série dessinée par un seul auteur la plus imprimée au monde (320 866 000 exemplaires). Et, en 2021, ce sont plus de 490 millions de mangas One Piece qui ont déjà été imprimés à travers le monde, chaque nouveau volume étant distribué au Japon à plus de 3 millions d'exemplaires.
Ses déclinaisons en série TV, jeux vidéo ou films sont tout aussi populaires que la série originale. One Piece jouit également d'un succès international.",
DUBU(REDICE STUDIO),,
Eiichiro Oda,"Eiichiro Oda est né le 1er janvier 1975 à Kumamoto (Japon). Dès l'âge de 4 ans, il veut devenir mangaka. En 1992, alors qu'il est encore au lycée, il est récompensé lors du 44e concours Tezuka pour Wanted!. Après avoir été assistant auprès de divers auteurs comme Nobuhiro Watsuki (l'auteur de Kenshin le vagabond), c'est en 1997 qu'Eiichiro Oda publie le premier chapitre de One Piece dans le magazine Weekly Shônen Jump. Grâce aux personnages attachants, aux scènes d'action dynamiques et au scénario émouvant qui la caractérisent, la série fait l'unanimité auprès d'un large public.
En décembre 2014, One Piece est entré dans le livre des records comme la série dessinée par un seul auteur la plus imprimée au monde (320 866 000 exemplaires). Et, en 2021, ce sont plus de 490 millions de mangas One Piece qui ont déjà été imprimés à travers le monde, chaque nouveau volume étant distribué au Japon à plus de 3 millions d'exemplaires.
Ses déclinaisons en série TV, jeux vidéo ou films sont tout aussi populaires que la série originale. One Piece jouit également d'un succès international.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
