Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
Blue Lock T19,7.99,Descripton non disponible,978-2811687526,https://m.media-amazon.com/images/I/81B9PqlA+CL._SY342_.jpg,Pika; Illustrated édition (10 avril 2024),Muneyuki Kaneshiro
One Piece - Édition originale - Tome 05: Pour qui sonne le glas,7.99,Descripton non disponible,978-2723489928,https://m.media-amazon.com/images/I/9161teLdxwL._SY342_.jpg,Glénat Manga; Illustrated édition (3 juillet 2013),Eiichiro Oda
Solo Leveling T10,7.99,Descripton non disponible,978-2382882108,https://m.media-amazon.com/images/I/71nN0BtegtL._SY342_.jpg,Kbooks; Illustrated édition (14 juin 2023),DUBU(REDICE STUDIO)
Solo Leveling T02,7.99,Descripton non disponible,978-2382880302,https://m.media-amazon.com/images/I/81CMi5bebML._SY342_.jpg,Kbooks; Illustrated édition (9 juin 2021),Chugong
Solo Leveling T06,7.99,Descripton non disponible,978-2382880791,https://m.media-amazon.com/images/I/71EdH0QeenL._SY342_.jpg,Kbooks; Illustrated édition (4 mai 2022),Dubu (Redice Studio)
Solo Leveling T05,7.99,Descripton non disponible,978-2382880333,https://m.media-amazon.com/images/I/91D4L4xEdLL._SY342_.jpg,Kbooks; Illustrated édition (9 février 2022),Chugong
One Piece - Édition originale - Tome 06: Le serment,7.99,Descripton non disponible,978-2723489935,https://m.media-amazon.com/images/I/61uG417P4pL._SY342_.jpg,Glénat Manga; Illustrated édition (3 juillet 2013),Eiichiro Oda
Solo Leveling T04,7.99,Descripton non disponible,978-2382880326,https://m.media-amazon.com/images/I/71vyNnG29SL._SY342_.jpg,Kbooks; Illustrated édition (10 novembre 2021),Chugong
Solo Leveling T03,7.99,Descripton non disponible,978-2382880319,https://m.media-amazon.com/images/I/71FFOKVYFIS._SY342_.jpg,Kbooks; Illustrated édition (8 septembre 2021),Chugong
One Piece - Édition originale - Tome 07: Vieux machin,7.99,Descripton non disponible,978-2723489942,https://m.media-amazon.com/images/I/91VPUjVne6L._SY342_.jpg,Glénat Manga; Illustrated édition (3 juillet 2013),Eiichiro Oda
One Piece - Édition originale - Tome 09: Larmes,7.99,Descripton non disponible,978-2723492539,https://m.media-amazon.com/images/I/918nv+d1nhL._SY342_.jpg,Glénat Manga; Illustrated édition (3 juillet 2013),Eiichiro Oda
One Piece - Édition originale - Tome 08: Je ne mourrai pas !,7.99,Descripton non disponible,978-2723489959,https://m.media-amazon.com/images/I/91cn+T+feUL._SY342_.jpg,Glénat Manga; Illustrated édition (3 juillet 2013),Eiichiro Oda
"One Piece - Édition originale - Tome 10: OK, Let's STAND UP !",7.99,Descripton non disponible,978-2723492553,https://m.media-amazon.com/images/I/91BBAVsHXcL._SY342_.jpg,Glénat Manga; Illustrated édition (3 juillet 2013),Eiichiro Oda
Solo Leveling T09,7.99,Descripton non disponible,978-2413076469,https://m.media-amazon.com/images/I/71EdAvJRp-L._SY342_.jpg,Kbooks; Illustrated édition (1 mars 2023),DUBU(REDICE STUDIO)
