Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
KAIJU N°8 T11,7.99,Descripton non disponible,978-2820350176,https://m.media-amazon.com/images/I/81vYVvSO4uL._SY342_.jpg,Crunchyroll; Illustrated édition (3 avril 2024),Naoya Matsumoto
Solo Leveling T08,7.99,Descripton non disponible,978-2413075424,https://m.media-amazon.com/images/I/71OrqG52CpL._SY342_.jpg,Kbooks; Illustrated édition (9 novembre 2022),DUBU(REDICE STUDIO)
Spy x Family - tome 2 (2) (Language French),7.99,Descripton non disponible,978-2380710250,https://m.media-amazon.com/images/I/61nCFpJzvCL._SY342_.jpg,Kurokawa (12 novembre 2020),Tatsuya Endo
KAIJU N°8 T11 - COFFRET COLLECTOR,7.99,Descripton non disponible,978-2820350190,https://m.media-amazon.com/images/I/81nIzfWIS2L._SY342_.jpg,Crunchyroll; Illustrated - Unnumbered copies édition (3 avril 2024),Naoya Matsumoto
Spy x Family - T3 (3),7.99,Descripton non disponible,978-2380711479,https://m.media-amazon.com/images/I/61PYpD0ltOL._SY342_.jpg,Kurokawa; Illustrated édition (11 février 2021),Tatsuya Endo
Solo Leveling T07,7.99,Descripton non disponible,978-2382880913,https://m.media-amazon.com/images/I/81MMHsCpVtL._SY342_.jpg,Kbooks; Illustrated édition (21 septembre 2022),DUBU(REDICE STUDIO)
One Piece - Édition originale - Tome 12: Et ainsi débuta la légende,7.99,Descripton non disponible,978-2723492577,https://m.media-amazon.com/images/I/91ycPpX5yUL._SY342_.jpg,Glénat Manga; Illustrated édition (3 juillet 2013),Eiichiro Oda
One Piece - Édition originale - Tome 15: Droit devant !!,7.99,Descripton non disponible,978-2723492607,https://m.media-amazon.com/images/I/91FroDUnIXL._SY342_.jpg,Glénat Manga; Illustrated édition (3 juillet 2013),Eiichiro Oda
One Piece - Édition originale - Tome 11: Le plus grand bandit d'East Blue,7.99,Descripton non disponible,978-2723492560,https://m.media-amazon.com/images/I/91WdYRYSGJL._SY342_.jpg,Glénat Manga; Illustrated édition (3 juillet 2013),Eiichiro Oda
One Piece - Édition originale - Tome 14: Instinct,7.99,Descripton non disponible,978-2723492591,https://m.media-amazon.com/images/I/916pdmNqOBL._SY342_.jpg,Glénat Manga; Illustrated édition (3 juillet 2013),Eiichiro Oda
"One piece, Volume 13",7.99,Descripton non disponible,978-2723492584,https://m.media-amazon.com/images/I/61G-QY5pCyL._SY342_.jpg,Glénat Manga; Illustrated édition (3 juillet 2013),Eiichiro Oda
"One piece, Volume 16",7.99,Descripton non disponible,978-2723494724,https://m.media-amazon.com/images/I/91wn7TT18uL._SY342_.jpg,Glénat Manga; Illustrated édition (3 juillet 2013),Eiichiro Oda
"Spy x Family - tome 1 (1), Language - French",7.99,Descripton non disponible,978-2380710243,https://m.media-amazon.com/images/I/61OQgI-aeAL._SY342_.jpg,Kurokawa; Illustrated édition (10 septembre 2020),Tatsuya Endo
One Piece - Édition originale - Tome 20: Bataille décisive à Alubarna,7.99,Descripton non disponible,978-2723494762,https://m.media-amazon.com/images/I/91ndzbq+aQL._SY342_.jpg,Glénat Manga; Illustrated édition (3 juillet 2013),Eiichiro Oda
One Piece - Édition originale - Tome 21: Utopia,7.99,Descripton non disponible,978-2723494779,https://m.media-amazon.com/images/I/919zwamQaeL._SY342_.jpg,Glénat Manga; Illustrated édition (3 janvier 2014),Eiichiro Oda
