Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
CHAINSAW MAN T16 - EDITION SPECIALE,7.99,Descripton non disponible,978-2820350374,https://m.media-amazon.com/images/I/81ZeMdHjyUL._SY342_.jpg,Crunchyroll; Edition spéciale (2 mai 2024),Tatsuki Fujimoto
Frieren T12 - Édition collector,7.99,Descripton non disponible,979-1032718865,https://m.media-amazon.com/images/I/71A43OM6lkL._SY342_.jpg,Ki-oon; Edition spéciale (2 mai 2024),Kanehito Yamada
One Piece - Édition originale - Tome 107,7.99,Descripton non disponible,978-2344058916,https://m.media-amazon.com/images/I/91DCuAbQbhL._SY342_.jpg,Glénat Manga; Illustrated édition (3 avril 2024),Eiichiro Oda
Spy x Family - T12,7.99,Descripton non disponible,979-1042014025,https://m.media-amazon.com/images/I/71Y4UZ8uNgL._SY342_.jpg,Kurokawa; Illustrated édition (14 mars 2024),Tatsuya Endo
Dragon Ball - Full Color - L'enfance de Goku - Tome 01,7.99,Descripton non disponible,978-2344061541,https://m.media-amazon.com/images/I/81JkZVR-x+L._SY342_.jpg,Glénat Manga; Illustrated édition (15 mai 2024),Akira Toriyama
Dragon Ball - Full Color - L'enfance de Goku - Tome 02,7.99,Descripton non disponible,978-2344061558,https://m.media-amazon.com/images/I/81bplkTmAML._SY342_.jpg,Glénat Manga; Illustrated édition (15 mai 2024),Akira Toriyama
One piece - Edition originale Vol.2,7.99,Descripton non disponible,978-2723489898,https://m.media-amazon.com/images/I/71Hw3JAfJRL._SY342_.jpg,Glénat Manga; Original édition (3 juillet 2013),Eiichiro Oda
Dragon Ball Super - Tome 21,7.99,Descripton non disponible,978-2344062203,https://m.media-amazon.com/images/I/81FHuodPGwL._SY342_.jpg,Glénat Manga; Illustrated édition (7 février 2024),Akira Toriyama
Solo Leveling T11,7.99,Descripton non disponible,978-2382882528,https://m.media-amazon.com/images/I/71cDRGur-nL._SY342_.jpg,Kbooks; Illustrated édition (20 septembre 2023),DUBU(REDICE STUDIO)
One Piece - Édition originale - Tome 03: Une vérité qui blesse,7.99,Descripton non disponible,978-2723489904,https://m.media-amazon.com/images/I/91sKhhBDJ0L._SY342_.jpg,Glénat Manga; Illustrated édition (3 juillet 2013),Eiichiro Oda
One Piece - Édition originale - Tome 04: Attaque au clair de lune,7.99,Descripton non disponible,978-2723489911,https://m.media-amazon.com/images/I/913wc4EdSlL._SY342_.jpg,Glénat Manga; Illustrated édition (3 juillet 2013),Eiichiro Oda
Solo Leveling T13,7.99,Descripton non disponible,978-2382882559,https://m.media-amazon.com/images/I/71xz1dp2rOL._SY342_.jpg,Kbooks; Illustrated édition (29 mai 2024),DUBU(REDICE STUDIO)
Solo Leveling T01,7.99,Descripton non disponible,978-2382880296,https://m.media-amazon.com/images/I/71bRU7hJB0L._SY342_.jpg,Kbooks; Illustrated édition (7 avril 2021),Chugong
Horimiya T16 Edition limitée,7.99,Descripton non disponible,978-2384962587,https://m.media-amazon.com/images/I/717TKJHr-HL._SY342_.jpg,Nobi Nobi; Illustrated - Unnumbered copies édition (15 mai 2024),HERO
Jujutsu Kaisen T23,7.99,Descripton non disponible,979-1032716229,https://m.media-amazon.com/images/I/71LTKHI13ML._SY342_.jpg,Ki-oon; Illustrated édition (4 avril 2024),Gege Akutami
One Piece - Édition originale - Tome 01: À l'aube d'une grande aventure,7.99,Descripton non disponible,978-2723488525,https://m.media-amazon.com/images/I/91t7YlWwGfL._SY342_.jpg,Glénat Manga; Original édition (3 juillet 2013),Eiichiro Oda
