Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
DANDADAN T11,7.99,Descripton non disponible,978-2820350220,https://m.media-amazon.com/images/I/81XghjIf6EL._SY342_.jpg,Crunchyroll; Illustrated édition (17 avril 2024),Yukinobu Tatsu
One Piece - Édition originale - Tome 106,7.99,Descripton non disponible,978-2344052198,https://m.media-amazon.com/images/I/91MlhHmkcGL._SY342_.jpg,Glénat Manga; Illustrated édition (6 décembre 2023),Eiichiro Oda
Sakamoto Days - Tome 13,7.99,Descripton non disponible,978-2344058923,https://m.media-amazon.com/images/I/81HbgiqRjaL._SY342_.jpg,Glénat Manga; Illustrated édition (2 mai 2024),Yuto Suzuki
Spy x Family - T11,7.99,Descripton non disponible,978-2380715378,https://m.media-amazon.com/images/I/618MOQX0v3L._SY342_.jpg,Kurokawa; Illustrated édition (12 octobre 2023),Tatsuya Endo
Frieren T12,7.99,Descripton non disponible,979-1032716090,https://m.media-amazon.com/images/I/71vJwWlEPML._SY342_.jpg,Ki-oon; Illustrated édition (2 mai 2024),Kanehito Yamada
One Piece - Coffret East Blue (Tomes 01 à 12),7.99,Descripton non disponible,978-2344050125,https://m.media-amazon.com/images/I/71mwAvj3kQL._SY342_.jpg,Glénat Manga; Illustrated édition (17 novembre 2021),Eiichiro Oda
One Piece - Édition originale - Tome 22: Hope !,7.99,Descripton non disponible,978-2723494786,https://m.media-amazon.com/images/I/910EvRRxpmL._SY342_.jpg,Glénat Manga; Illustrated édition (3 janvier 2014),Eiichiro Oda
One Piece - Coffret Water Seven (Tomes 33 à 45),7.99,Descripton non disponible,978-2344057834,https://m.media-amazon.com/images/I/71krLWDLTlL._SY342_.jpg,Glénat Manga; Illustrated édition (7 juin 2023),Eiichiro Oda
One Piece - Coffret Thriller Bark (Tomes 46 à 53),7.99,Descripton non disponible,978-2344058343,https://m.media-amazon.com/images/I/81Joqtd1NgL._SY342_.jpg,Glénat Manga; Illustrated édition (8 novembre 2023),Eiichiro Oda
Spy x Family - T5 (05),7.99,Descripton non disponible,978-2380711493,https://m.media-amazon.com/images/I/71nblClfu3S._SY342_.jpg,Kurokawa; Illustrated édition (19 août 2021),Tatsuya Endo
"Spy x Family - tome 4 (4), French version",7.99,Descripton non disponible,978-2380711486,https://m.media-amazon.com/images/I/61SkauUrOIL._SY342_.jpg,Kurokawa; Illustrated édition (12 mai 2021),Tatsuya Endo
One Piece - Édition originale - Tome 17: Les cerisiers d'Hiluluk,7.99,Descripton non disponible,978-2723494731,https://m.media-amazon.com/images/I/91QYO8wlnKL._SY342_.jpg,Glénat Manga; Illustrated édition (3 juillet 2013),Eiichiro Oda
Spy x Family - T6 (6),7.99,Descripton non disponible,978-2380711509,https://m.media-amazon.com/images/I/61D5B5de6PS._SY342_.jpg,Kurokawa; Illustrated édition (10 novembre 2021),Tatsuya Endo
One Piece - Édition originale - Tome 25: L'homme qui valait 100 millions,7.99,Descripton non disponible,978-2723494816,https://m.media-amazon.com/images/I/91C3JUchxGL._SY342_.jpg,Glénat Manga; Illustrated édition (3 janvier 2014),Eiichiro Oda
One Piece - Édition originale - Tome 19: Rébellion,7.99,Descripton non disponible,978-2723494755,https://m.media-amazon.com/images/I/91dWJItG0yL._SY342_.jpg,Glénat Manga; Illustrated édition (3 juillet 2013),Eiichiro Oda
Solo Leveling T13 + Solo Leveling Roman T01,7.99,Descripton non disponible,978-2382882672,https://m.media-amazon.com/images/I/71YHbS7aPAL._SY342_.jpg,Kbooks; Illustrated édition (29 mai 2024),DUBU(REDICE STUDIO)
